Brand,Product Name,Price,Image URL,Product URL
Vivo,Sakari Drop Shoulder Jumpsuit - Navy / White Deka Print,"6,550",https://shopzetu.com/cdn/shop/files/IMG_7381_52d96d2d-dc63-4db2-ae4c-2f3eb4fd120e_{width}x.jpg?v=1748472712,https://shopzetu.com/collections/vivo-bottoms/products/vivo-sakari-drop-shoulder-jumpsuit-greeen-navy-deka-print-copy
Vivo,Sakari Drop Shoulder Jumpsuit - Green / Navy Deka Print,"6,550",https://shopzetu.com/cdn/shop/files/IMG_7090_{width}x.jpg?v=1748472712,https://shopzetu.com/collections/vivo-bottoms/products/vivo-sakari-drop-shoulder-jumpsuit-hot-pink-sari-print-copy
Vivo,Analo Wide Leg Pants - Black,"3,900",https://shopzetu.com/cdn/shop/files/IMG_6920_{width}x.jpg?v=1748013909,https://shopzetu.com/collections/vivo-bottoms/products/vivo-analo-wide-leg-pants-black
Vivo,Analo Wide Leg Pants - Orange,"3,900",https://shopzetu.com/cdn/shop/files/IMG_7011_{width}x.jpg?v=1748013909,https://shopzetu.com/collections/vivo-bottoms/products/vivo-analo-wide-leg-pants-orange
Vivo,Analo Wide Leg Pants - Yellow,"3,900",https://shopzetu.com/cdn/shop/files/IMG_7047_{width}x.jpg?v=1748013911,https://shopzetu.com/collections/vivo-bottoms/products/vivo-analo-wide-leg-pants-yellow
Vivo,Yumi Off Shoulder Jumpsuit - Cream / Black Rumi Print,"6,750",https://shopzetu.com/cdn/shop/files/D6A0254_3650aec4-71d0-4bc2-986f-096f6e573106_{width}x.jpg?v=1748472846,https://shopzetu.com/collections/vivo-bottoms/products/vivo-yumi-off-shoulder-jumpsuit-cream-black-rumi-print
Vivo,Yumi Off Shoulder Jumpsuit - Orange / Navy Rumi Print,"6,750",https://shopzetu.com/cdn/shop/files/D6A0019_90381649-b0f8-4891-bdad-5f0c4bee2c64_{width}x.jpg?v=1748472846,https://shopzetu.com/collections/vivo-bottoms/products/vivo-yumi-off-shoulder-jumpsuit-orange-navy-rumi-print
Vivo,Yumi Off Shoulder Jumpsuit - Cream / Rust Rumi Print,"6,750",https://shopzetu.com/cdn/shop/files/D6A0524_8b3c0240-1e61-4d5a-ba11-664fd7be9ebf_{width}x.jpg?v=1748567849,https://shopzetu.com/collections/vivo-bottoms/products/vivo-yumi-off-shoulder-jumpsuit-cream-rust-rumi-print
Vivo,Rema Palazzo Pants - Black,"3,500",https://shopzetu.com/cdn/shop/files/IMG_6759_{width}x.jpg?v=1748472847,https://shopzetu.com/collections/vivo-bottoms/products/vivo-rema-palazzo-pants-brown-copy
Vivo,Rema Palazzo Pants - Brown,"3,500",,https://shopzetu.com/collections/vivo-bottoms/products/vivo-rema-drawstring-pants-magenta-copy
